Date,Symbol,BanDurationInWeeks
2025-05-05,WPM,12
2025-05-05,AEM,12
2025-05-05,AU,12
2025-05-05,VLGEA,12
2025-05-05,XYF,12
2025-05-05,CRS,12
2025-05-05,DRVN,12
2025-05-05,LAUR,12
2025-05-05,TKO,12
2025-05-05,HURN,12
2025-05-05,WMT,12
2025-05-05,DRS,12
2025-05-05,ATLC,12
2025-05-05,CAKE,12
2025-05-05,ATGE,12
2025-05-05,CHTR,12
2025-05-05,COE,12
2025-05-05,RDVT,12
2025-05-05,REVG,12
2025-05-05,MWA,12
2025-05-05,SNOW,12
2025-05-05,DASH,12
2025-05-05,PLMR,12
2025-05-05,FARO,12
2025-05-05,IGIC,12
2025-05-05,OCS,12
2025-05-05,PEN,12
2025-05-05,BCOW,12
2025-05-05,ADMA,12
2025-05-05,FRHC,12
2025-05-05,IBEX,12
2025-05-05,VIRT,12
2025-05-05,MNPR,12
2025-05-05,GWRE,12
2025-05-05,SPOT,12
2025-05-05,GEO,12
2025-05-05,ESE,12
2025-05-05,LNG,12
2025-05-05,LBRDA,12
2025-05-05,BBAR,12
2025-05-05,SKE,12
2025-05-05,CRWD,12
2025-05-05,GAMB,12
2025-05-05,FEIM,12
2025-05-05,WMB,12
2025-05-05,GFL,12
2025-05-05,EZPW,12
2025-05-05,AEE,12
2025-05-05,EQT,12
2025-05-05,QFIN,12
2025-05-05,IDT,12
2025-05-05,BK,12
2025-05-05,LINC,12
2025-05-05,MASI,12
2025-05-05,JFIN,12
2025-05-05,TATT,12
2025-05-05,ETR,12
2025-05-05,FTNT,12
2025-05-05,TPL,12
2025-05-05,CVCO,12
2025-05-05,OLLI,12
2025-05-05,LQDT,12
2025-05-05,VEON,12
2025-05-05,EXLS,12
2025-05-05,LLYVA,12
2025-05-05,BJ,12
2025-05-05,CHWY,12
2025-05-05,CHEF,12
2025-05-05,MSB,12
2025-05-05,PAYC,12
2025-05-05,ROOT,12
2025-05-05,IIIV,12
2025-05-05,IDCC,12
2025-05-05,SRAD,12
2025-05-05,DE,12
2025-05-05,GNTY,12
2025-05-05,LTH,12
2025-05-05,MP,12
2025-05-05,PHR,12
2025-05-05,FFIV,12
2025-05-05,UNM,12
2025-05-05,LOMA,12
2025-05-05,RELY,12
2025-05-05,PLNT,12
2025-05-05,FBIZ,12
2025-05-05,APEI,12
2025-05-05,LPLA,12
2025-05-05,ELLO,12
2025-05-05,CYBR,12
2025-05-05,CPBI,12
2025-05-05,UTI,12
2025-05-05,IBM,12
2025-05-14,JCI,4
2025-05-14,BCRX,4
2025-05-14,FOXA,4
2025-05-14,MUFG,4
2025-05-14,YMM,4
2025-05-14,ACHR,4
2025-05-14,CHN,4
2025-05-14,XPEV,4
2025-05-14,BABA,4
2025-05-14,BROS,4
2025-05-14,BRDG,4
2025-05-14,EAT,4
2025-05-21,CCB,4
2025-05-14,KEN,4
2025-05-14,LZMH,4
2025-05-14,HCWB,12
2025-05-14,SAIL,12
2025-05-14,KDLY,12
2025-05-14,GRAL,4
2025-05-14,DBVT,12
2025-05-21,YB,4
2025-05-21,CHA,4
2025-05-21,ATHR,4
2025-05-21,RYET,4
2025-05-21,FATN,4
2025-05-21,LB,4
2025-05-21,LFMD,4
2025-05-21,NVCT,4
2025-05-21,ACMR,4
2025-05-21,BZ,4
2025-05-21,EYE,4
2025-05-21,LOAR,4
2025-05-21,SEZL,4
2025-05-21,SMNEY,4
2025-05-21,AGX,4
2025-05-21,GEV,4
2025-05-21,LMB,4
2025-05-21,AXON,4
2025-05-21,ATRO,4
2025-05-21,MPAA,4
2025-05-21,BTSG,4
2025-05-21,PAY,4
2025-05-21,TLN,4
2025-05-21,WLDN,4
2025-05-21,ESP,4
2025-05-21,BBVA,4
2025-05-21,CCEC,4
2025-05-21,GFI,4
2025-05-21,CGNT,4
2025-05-21,GE,4
2025-05-21,HDB,4
2025-05-21,PSMT,4
2025-05-21,AZO,4
2025-05-21,COR,4
2025-05-21,AM,4
2025-05-21,PHYS,4
2025-05-21,BSAC,4
2025-05-21,BCH,4
2025-05-21,BTI,4
2025-05-21,BWFG,4
2025-05-21,MAG,4
2025-05-21,WRB,4
2025-05-21,NTES,4
2025-05-21,EHC,4
2025-05-21,RYAN,4
2025-05-21,SSNC,4
2025-05-21,OGS,4
2025-05-21,CNO,4
2025-05-21,KVUE,4
2025-05-21,DPG,4
2025-05-21,EBMT,4
2025-05-21,DGX,4
2025-05-21,ALL,4
2025-05-21,ENB,4
2025-05-21,FAST,4
2025-05-21,XEL,4
2025-05-21,MA,4
2025-05-21,PAYX,4
2025-05-21,WEC,4
2025-05-21,RPRX,4
2025-05-21,AJG,4
2025-05-21,THG,4
2025-05-21,HMN,4
2025-05-21,ABT,4
2025-05-21,CBOE,4
2025-05-21,ICE,4
2025-05-21,PSO,4
2025-05-21,COST,4
2025-05-21,PBH,4
2025-05-21,TRV,4
2025-05-21,RTX,4
2025-05-21,AER,4
2025-05-21,MO,4
2025-05-21,WTS,4
2025-05-21,HG,4
2025-05-21,PGR,4
2025-05-21,SCHW,4
2025-05-21,CIB,4
2025-05-21,EPR,4
2025-05-21,CTVA,4
2025-05-21,TJX,4
2025-05-21,ECBK,4
2025-05-21,RBC,4
2025-05-21,CNH,4
2025-05-21,CHKP,4
2025-05-21,BSET,4
2025-05-21,HIG,4
2025-05-21,IBN,4
2025-05-21,CEF,4
2025-05-21,EBAY,4
2025-05-21,V,4
2025-05-21,MGYR,4
2025-05-21,KAR,4
2025-05-21,HEI,4
2025-05-21,RSG,4
2025-05-21,BSX,4
2025-05-21,SPRY,4
