Symbol,Price_Increase_Percentage
TBIO,70856.52
KLDO,69900.00
ZCAR,67609.09
HLTHQ,60900.00
APDN,60724.44
EVLO,59900.00
NAVB,59900.00
NMRD,59900.00
RTCJF,59347.85
ALCE,57300.00
HALL,56700.00
MCLDF,54800.00
CNSP,53561.70
ENGCQ,53233.33
CYN,51858.73
BHILQ,51612.33
BMMJ,51200.00
GCTK,50752.97
PIKM,50264.96
BIOCQ,49900.00
BZAMF,49900.00
CALA,49900.00
ISUNQ,49900.00
VINC,49780.10
AFMDQ,49622.22
MLGO,47975.47
SYRS,46100.00
ELAB,46085.61
ATCH,45797.43
DMKPQ,44900.00
MVLA,44900.00
LYTHF,44267.82
AUVIQ,40400.00
NIVF,38947.62
PROCF,37276.24
AXDXQ,37221.43
SMX,36980.82
RGRX,36550.00
GDHG,34809.91
OCEA,34616.98
HCTI,34445.45
NCNA,33100.00
ADD,32929.82
BTTX,32500.00
IVP,31765.08
EJH,31404.07
RGC,31253.14
CMRA,30400.00
SISI,30120.16
CFRXQ,29900.00
VCIG,29726.33
APTOF,29625.05
MGAM,29566.67
HSTOQ,28990.91
ZDAI,28916.22
GRFXY,28568.32
QVCGB,27870.15
ONCO,27788.45
SYTA,27770.74
TMPOQ,26400.00
HOLO,26163.50
OMGAQ,26150.00
VMAR,25342.21
CERO,24856.96
OILCF,24775.62
UBXG,23927.12
PBM,23830.55
XPON,23066.67
GGEI,22900.00
RIME,22707.02
DNMRQ,22669.23
CGBS,21834.37
HAO,21270.58
AREB,20968.20
RNAZ,20936.94
XXII,19958.24
ALEAF,19900.00
GMVDF,19900.00
XTIA,19431.25
BSLK,19351.43
LICN,18669.23
VLCN,18329.09
RSLS,17943.44
CMCT,17716.29
NKLAQ,17013.56
ROII,16900.00
TGL,16050.79
SUNWQ,16000.00
PAPLF,15900.00
ATTOF,14900.00
AZREF,14900.00
HTGMQ,14900.00
VIVE,14900.00
VSTTF,14804.11
APVO,14700.01
BJDX,14612.33
EYEN,14582.35
AEHL,14264.15
BACK,13860.00
CYCC,13690.24
SVRE,13336.49
DTCB,13285.42
TNMG,13212.50
JBIO,13091.70
NWTG,13077.91
TWG,13006.80
LKCOF,12357.79
SOBR,12323.94
RYDE,12298.02
FTEL,12275.00
CYCU,12153.85
TTOO,12042.86
AGILQ,11900.00
EGOXF,11900.00
UTRS,11900.00
SEVCF,11550.67
VIRX,11067.50
YELLQ,11042.86
AWHL,10939.30
TRVN,10755.26
LICYQ,10657.14
KNW,10445.45
DFDV,10085.26
GTI,9991.74
AGMH,9945.87
HMR,9940.00
BXRXQ,9900.00
NBRVF,9900.00
RENO,9900.00
SCPS,9900.00
NDRA,9778.60
BIORQ,9775.00
ICON,9525.00
MKDW,9311.76
ULY,9243.22
BSFC,9199.75
KRBPQ,9159.78
WLGS,9100.00
SSUNF,8900.00
BHAT,8846.20
CTOR,8799.38
JYD,8788.89
CHSN,8626.15
FTCHQ,8500.00
ABP,8475.20
ICCT,8396.46
DRUG,8392.21
NVNI,8347.68
SGN,8330.19
SNYR,8303.36
CNTM,8158.28
PNST,8125.00
ASAPQ,8100.00
YHC,7999.30
JBDI,7929.75
WCT,7913.70
REVB,7765.46
QUBT,7550.04
MAXN,7410.04
WNW,7269.20
ASBP,7248.84
BLMZ,7066.67
SSII,6906.25
SDST,6820.26
BURU,6817.29
ORIS,6730.49
NXUR,6704.88
KLTO,6375.77
BON,6369.30
MBIO,6335.64
JTAI,6151.71
PTLE,6064.06
SYRA,6011.11
NUKK,5924.62
USCTF,5860.00
CANB,5819.35
WKHS,5768.84
MINM,5622.07
LEVGQ,5558.54
SBET,5401.77
ATHXQ,5400.00
GRI,5324.51
YYAI,5315.60
NAKA,5249.23
VLDX,5242.21
RHEP,5130.77
FAAS,5124.62
LTCH,5085.19
AZTR,5061.29
EPWK,4998.04
VTAK,4997.09
BIOLQ,4925.00
TTCFQ,4900.00
UFABQ,4900.00
WEJOF,4900.00
ATGL,4884.35
ACOG,4782.14
FXLV,4775.00
BTOG,4739.53
MMVVF,4693.39
SOWG,4656.70
UAVS,4596.13
LGCB,4577.38
LILMF,4563.87
KXIN,4546.65
WBUY,4488.00
MEHCQ,4417.65
AIFU,4353.33
ALZN,4343.94
IXHL,4337.50
NUTX,4329.81
BSGM,4278.11
SFHG,4258.88
BLNE,4249.73
DGNX,4205.56
WLDS,4117.57
NAAS,4059.20
ALUR,4027.91
BDRX,4008.91
FOXO,3988.05
QMCO,3982.88
BLMH,3966.67
CTXR,3938.46
RMSG,3920.36
ASST,3905.97
SDCCQ,3900.00
VCNX,3890.48
DDC,3804.32
QTTB,3797.83
JUNS,3725.49
LAES,3693.10
MODV,3688.53
WOLF,3663.41
STI,3658.50
SAVA,3569.57
LRHC,3552.17
CYTOF,3512.77
NUWE,3509.08
BPTH,3508.33
APLT,3501.25
USDP,3464.10
GSIW,3413.28
SCNX,3344.93
ORGS,3287.33
CVM,3263.52
LFLY,3258.78
FFAI,3221.30
GLXG,3178.47
LXEH,3173.20
AMIX,3161.54
XAGE,3148.94
RGTI,3145.45
XCH,3141.14
TNXP,3139.64
IMG,3100.00
ENSV,3063.55
MNPR,3058.81
AGFY,3015.87
PTNT,2961.22
DHAI,2958.33
HSDT,2957.31
ATXI,2955.05
JAGX,2885.18
HCWC,2831.03
FRGT,2826.83
AYRWF,2788.89
BENF,2765.63
MVST,2751.49
GORV,2747.38
NMRA,2713.42
XTKG,2699.25
ABVE,2698.88
TOI,2693.30
DUO,2667.41
KZIA,2662.24
KULR,2645.00
CLIK,2643.75
NXTT,2626.03
ATNF,2598.39
TANH,2547.82
PCLA,2540.09
QBTS,2533.58
DFLI,2528.50
SHPH,2519.51
NTCL,2516.16
ALLR,2480.68
SXTP,2452.77
XCUR,2400.00
EDBL,2400.00
PAIYY,2400.00
MRM,2365.47
APCX,2358.75
NEHC,2358.00
DSHK,2355.45
QXO,2350.42
IGMS,2345.65
SLNH,2341.73
NAOV,2336.65
VRCA,2326.62
OGEN,2323.10
QMMM,2307.41
PET,2286.67
TDTH,2270.00
AAMCF,2264.00
WOK,2238.78
GRYP,2234.66
CTM,2227.30
PEVM,2216.67
FLYE,2214.70
NXTP,2200.00
GWAV,2191.67
LNKS,2182.22
CSAI,2169.70
SPHL,2160.21
ELPW,2149.20
SCLX,2136.14
STFS,2135.68
CMLS,2133.30
ALXO,2131.55
BNAI,2124.63
PRPH,2120.51
CUBT,2115.38
WATT,2105.88
PEPG,2092.93
NITO,2067.70
SBEV,2061.94
SKK,2056.31
LPTX,2054.75
UOKA,2051.90
BTAI,2047.01
HTCO,2042.86
YXT,2036.93
GRRR,2012.44
GETR,2000.00
UMAC,1990.27
INTZ,1979.32
GLMD,1969.57
PCSA,1966.67
OMEX,1963.09
HGAS,1946.59
MTNB,1921.90
BTCT,1913.64
KUKE,1912.41
ORKT,1911.57
TRAW,1904.12
AIJTY,1900.00
SONX,1894.00
BNGO,1870.11
LNZA,1855.75
IOTR,1854.25
INLF,1826.61
AIMI,1812.35
RELI,1810.71
MJNA,1800.00
YGFGF,1800.00
XHLD,1797.36
FEBO,1793.74
NMAX,1792.86
MNTS,1791.38
RBNE,1767.42
WGHTQ,1760.07
RLMD,1759.40
GWH,1755.01
ADGM,1751.20
INAB,1751.08
GNPX,1746.51
YIBO,1738.95
TOVX,1733.96
BIAF,1723.86
KAVL,1718.38
KITT,1710.96
DWTX,1707.41
JFBR,1695.48
NIPG,1693.94
CNTGF,1691.22
AREN,1684.76
STAI,1682.16
INHD,1681.98
NKGN,1680.26
LPTV,1670.70
LUNA,1668.18
INEO,1665.96
INTS,1658.62
QVCGA,1654.30
ERNA,1643.03
TNON,1636.12
RCAT,1635.65
GITS,1624.14
OPI,1622.86
RR,1620.71
DEVS,1612.33
SOAR,1605.75
EVTV,1580.37
PMAX,1578.57
ATHA,1571.98
IBO,1567.57
VSEE,1555.00
REE,1544.68
DOMH,1544.45
LEJUY,1544.28
APM,1528.24
STEC,1527.44
ELEV,1526.70
SGD,1520.20
BGXXQ,1519.61
ANVS,1510.81
ATIP,1507.32
CURR,1497.09
SLRX,1493.27
CNEY,1481.03
PSIG,1468.92
CDIO,1461.78
TDUP,1450.70
BLRX,1447.83
MYNZ,1441.67
GOVX,1431.51
CLRB,1426.79
BNZI,1424.64
GNS,1423.81
DRCT,1400.11
TNFA,1384.43
HIT,1382.42
TWNP,1380.00
EVAX,1379.17
CISO,1376.92
BZAI,1370.59
SONN,1366.67
MCTR,1364.27
PLRX,1363.50
SRXH,1360.90
ILLR,1358.63
OPTT,1358.33
RADX,1356.16
CJET,1344.94
PTHL,1343.18
FNCH,1340.91
VVPR,1334.57
EVKG,1328.57
CMBM,1326.10
ARQQ,1319.09
SGLY,1316.93
UAMY,1314.96
NLSP,1314.46
VEEA,1295.49
CRNG,1292.76
CEIN,1291.30
VRAR,1291.10
AGH,1288.46
SALM,1284.11
VOR,1273.00
SLSN,1271.07
CABA,1269.59
SLE,1266.67
OVID,1264.95
MOVE,1263.99
SICPQ,1263.64
AGEN,1257.97
RZLV,1256.07
IRWD,1248.89
LXEO,1244.83
BNET,1241.18
ATEK,1241.00
CARM,1240.86
TBH,1238.46
SERV,1237.91
AMOD,1235.64
BW,1234.23
CRBP,1234.05
ZVSA,1232.49
ARBK,1226.67
JDZG,1222.73
TPET,1216.46
GIBO,1214.13
OSRH,1213.73
FEAM,1213.13
IDAI,1211.18
CGTL,1206.44
ENTO,1202.70
FDMT,1197.31
BDMD,1187.62
HBIO,1179.77
XFOR,1169.67
SES,1165.00
SONM,1158.82
SXTC,1154.74
CRVO,1153.89
LASE,1153.16
LRE,1150.91
WAI,1150.00
SGBX,1149.97
ICU,1147.75
ALGS,1144.68
IVF,1143.80
LDTC,1143.78
FBLG,1141.98
OM,1141.02
LITM,1136.84
MBRX,1132.70
FBGL,1132.47
RCKT,1131.96
KBSX,1128.57
APXIF,1127.62
CLDI,1112.97
SPRB,1110.53
RETO,1109.79
BIVI,1109.68
TVGN,1108.92
ASTI,1106.84
LTRY,1101.18
GRO,1100.00
EVCO,1099.00
SOND,1093.18
FNMA,1091.18
BDSX,1087.43
UPXI,1087.27
RDHL,1085.67
LMPX,1084.83
GDC,1082.52
LGCL,1082.14
TSSI,1079.06
AGRI,1079.00
OKUR,1076.47
CRNC,1075.21
AONC,1074.26
NWTN,1074.06
SEZL,1073.83
ENVB,1070.29
AMBR,1068.75
AZ,1068.24
TNGX,1066.99
KSCP,1066.53
HLVX,1064.18
PRCH,1061.90
NFE,1060.18
CING,1057.22
ISPC,1056.86
IPDN,1056.79
GBIO,1055.06
GMM,1053.84
WIMI,1049.61
SKYQ,1043.75
VSA,1042.86
SLN,1040.61
CGTX,1040.35
STIM,1038.46
HOOK,1037.17
TNYA,1027.78
CGC,1023.38
AQMS,1023.29
ZOMDF,1018.00
BCLI,1017.79
SNAX,1015.70
LGHL,1015.02
PRLD,1014.57
SNTI,1014.40
ACXP,1008.33
OKLO,1005.42
KC,1001.98
TLYS,999.82
AUUD,997.91
VRAX,997.55
SILO,997.29
ANRO,996.88
QNRX,996.82
PRTG,996.76
BTOC,994.42
MRSN,993.09
FLX,992.04
OMQS,989.92
MNDR,986.18
NGNE,984.28
IBIO,983.80
LESL,983.51
PDYN,983.33
PRFX,981.57
NVVE,973.17
WYHG,971.33
LUMN,964.84
OTLK,963.22
VRNOF,958.54
ZNTL,957.43
OMH,954.60
DTEAF,952.30
BCAB,952.08
AENT,951.89
TSBX,951.72
SOPA,946.84
BCTX,946.26
SGMO,945.72
ABTS,944.03
CATX,934.38
KIDZ,933.98
QLGN,932.81
BMGL,930.93
TLLTF,929.41
TPHS,928.40
PHIO,913.77
BMEA,912.79
AIRE,912.40
IPSC,912.29
AZI,910.73
STTK,909.82
LAZR,906.15
RGLS,905.30
BOXL,904.72
AMPG,904.69
TROO,902.46
SMXT,901.67
SBIG,900.00
CASK,900.00
GGBXF,900.00
KAPA,900.00
SFRT,900.00
NCL,896.72
OPGN,895.64
RVSN,894.88
EOSE,894.46
AEVA,893.18
OPTX,892.78
LPRO,888.57
STRO,888.34
TGEN,887.69
ZJK,887.06
PSIX,886.57
IMNN,886.49
LYRA,884.25
MIRA,882.35
EHLD,881.46
CODX,880.18
SKYE,878.95
GPUS,878.74
EXOD,876.71
CRML,875.61
FMCC,875.40
ARTV,872.47
PSTV,870.83
LVWR,868.71
ACRV,867.62
CAPT,864.92
NPWR,864.86
RANI,863.41
GV,860.00
VS,859.00
TIL,856.34
CAPS,855.70
PC,855.00
ORKA,854.75
KRRO,852.38
KTTA,851.78
BAOS,848.61
STKH,848.11
LSB,845.05
VNET,843.27
QSI,842.66
JMIA,840.00
GGR,836.17
KYTX,834.83
TC,834.78
MYSZ,829.50
DSY,826.96
DATS,824.75
AIFF,824.73
BIOA,824.31
MTEN,822.22
TMDE,816.67
XAIR,815.54
VRME,814.24
INM,812.56
TCRX,810.78
SPRC,808.63
BOLD,806.60
ENSC,805.55
QH,800.75
TUEMQ,800.00
TLIS,799.04
ROMA,798.91
TKNO,797.84
HCAI,796.69
FATE,795.48
SAIH,795.00
RILY,792.51
CDTG,792.31
PHAT,791.86
SUP,790.51
BBAI,789.27
JG,787.29
IPW,784.85
CRIS,784.31
GCL,783.52
SNGX,782.73
RVPH,782.47
LGPS,782.35
QNTM,781.81
ZENA,781.56
CLYM,780.95
INDP,780.65
TRUG,780.14
IONQ,780.06
LIDR,777.91
PWM,770.41
PHGE,770.27
NBY,769.57
WKEY,769.57
INO,768.31
ARAI,767.68
CHGG,765.71
APP,765.58
INZY,765.46
LXRX,763.89
YCBD,760.32
MFH,760.19
ICG,760.00
PALI,758.33
ALAR,757.39
EONR,757.31
FCEL,757.15
REBN,754.37
SPCE,753.21
OCFT,753.08
CISS,752.63
CTEV,752.29
HUMA,751.30
FGEN,750.00
ALTS,748.74
WORX,748.72
CRGX,748.33
NXL,747.15
MTC,745.49
CHRO,744.44
GIFT,744.00
NCPL,743.96
RGS,741.23
LUCY,740.66
ATNM,739.49
MTVA,737.81
TCRT,737.33
TPIC,736.21
ELWS,734.62
BULL,733.96
SPPL,733.33
YOSH,733.33
JSPR,732.27
HOUR,731.33
HUSA,730.52
LGVN,730.41
LFSWF,730.37
GMBL,729.90
MRIN,729.87
OST,727.37
LHSW,726.26
ZSPC,719.30
QTIH,717.65
CTNT,713.33
NXTC,712.46
ZVIA,711.38
SHFS,708.80
CRTD,707.69
APLM,704.92
LODE,704.78
SCWO,701.74
CDLX,701.64
WAVE,701.36
SBFM,700.48
CORBF,700.00
HWH,700.00
MCOM,700.00
MWYN,700.00
NTPIF,700.00
ODTC,700.00
GLTO,699.38
DAVE,698.98
ASPN,696.87
RKLB,695.70
NEGG,695.18
KROS,693.53
LUNR,692.06
LTBR,690.18
USEG,690.12
FOA,689.67
NEON,689.47
ZJYL,689.19
SORA,686.11
RLYB,685.60
CBUS,683.57
JZXN,683.49
SMTK,680.00
ALEC,679.31
RENB,677.78
ALMU,674.00
TPST,672.78
IVVD,672.70
RENT,672.36
CNF,671.95
AUMN,671.43
JVA,669.89
MYGN,669.03
ZKIN,668.29
IBG,666.59
LOBO,664.72
BNRG,664.24
IRBT,664.20
CAMP,663.98
IOVA,663.50
SNWV,663.37
NNE,662.70
SATL,662.50
ATOM,659.74
ADAP,658.59
EVGN,656.84
DRMA,656.32
ATPC,655.47
PNBK,654.55
TSNDF,652.69
FGL,651.43
GXAI,650.00
SRFM,646.67
DYN,646.07
CYCN,645.66
BBLG,645.61
SBC,644.27
SPCB,643.14
LX,641.08
DCSX,640.02
OCG,639.60
TRIB,639.58
SUAC,638.92
SHOT,638.42
GUTS,637.69
LOT,636.79
PROK,636.48
SLXN,635.65
PRME,634.23
ITHUF,633.33
EZGO,631.79
VERB,631.23
MKZR,630.31
WRD,629.68
LZMH,629.55
BOWN,629.52
HURA,629.18
BDRL,628.48
FCUV,626.67
FLNC,626.30
HAIN,625.38
BNSOF,625.00
VSME,623.53
MDIA,622.57
CURI,622.22
CTMX,618.75
NISN,618.15
FTFT,616.98
TMC,615.67
FTRE,615.62
GELS,614.19
CANN,613.85
VRNA,609.75
CREV,609.50
BKYI,609.47
ITP,608.61
GEVO,606.10
CCCC,605.99
HUIZ,605.33
MOB,603.53
HOWL,602.52
GRTX,602.38
VERO,601.90
ENGS,601.37
MIGI,600.00
STAB,600.00
LYEL,599.35
CVGI,598.66
NAMI,598.20
FBRX,597.81
INVZ,597.78
PPBT,597.50
RPID,597.29
VUZI,597.29
CPIX,597.12
LRMR,595.65
AERG,595.35
SEPN,595.20
SRRK,594.97
TAOP,590.15
CANG,590.00
FAMI,588.11
HSAI,586.93
AMPX,585.75
MMA,585.00
COMM,584.76
ZONE,583.95
CNVS,583.92
EDIT,583.44
HUBC,579.61
HOVR,579.17
ETON,575.47
BOF,575.43
DXST,575.29
RVYL,574.32
SGMA,573.96
PTIX,573.19
THAR,571.22
SIDU,571.05
TELA,570.91
SERA,566.40
CURLF,565.48
CAPR,564.77
AAOI,564.18
EKSO,562.62
UGRO,562.53
AKAN,562.29
GREE,561.90
TIVC,561.60
BIYA,561.16
CNXX,560.00
HTCR,559.38
LITB,559.34
PHUN,557.66
SNAL,557.31
TARA,557.05
CTNM,556.72
BATL,556.19
WBX,556.00
MI,555.37
HOTH,555.17
SOUN,553.93
BPT,551.85
MRNA,551.14
PLAG,548.34
PYXS,546.89
CWD,546.67
PRZO,544.90
NCI,542.86
ZYXI,539.76
LSH,539.29
PLTR,537.21
MYND,537.08
AERT,536.96
KANT,536.77
SRM,536.75
EVOK,535.05
PSNL,534.36
IVDA,533.86
ONDS,533.62
BTM,530.94
MRKR,530.53
NIXX,529.63
NKTX,528.24
GCTS,527.78
VIVK,526.82
IQST,526.05
CETY,526.02
RDGT,525.00
INV,525.00
OSTX,525.00
SDOT,524.91
UP,524.24
SUGP,522.61
IMTE,521.45
RAIN,519.43
MFI,518.33
FEDU,516.85
FOXX,514.34
WAFU,513.93
NTRP,513.72
ECDA,512.59
LIPO,512.24
CAN,511.56
TERN,511.26
EHGO,511.16
ZBAI,510.95
ANNX,510.89
ALDX,510.17
GDS,509.05
NTHI,508.27
XIN,507.76
BFLY,507.32
LIMN,506.36
VIGL,505.95
COGNY,505.56
URGN,505.26
KOD,504.16
RLAY,503.94
MRVI,502.40
AIRS,501.31
YVRLF,500.00
LMFA,498.83
ARBE,498.82
CEP,498.10
ALBT,497.08
INTE,497.01
RMTI,496.20
GORO,495.97
BLNK,495.14
COEP,493.07
FNVTF,492.89
DOGZ,492.71
LVLU,490.16
BROG,490.12
BGM,489.29
PRTA,488.43
ZBAO,488.37
MHUA,488.00
SMCI,487.83
SANA,487.30
NAGE,486.98
ATHE,486.41
FUBO,486.36
ADIL,484.68
PULM,484.27
SPRO,483.93
MGNX,483.00
SVCO,482.82
EVTL,481.45
APPS,481.36
OLMA,481.12
TLRY,481.08
PONY,481.02
MGRX,480.23
OPAD,479.76
DBVT,479.72
BPTSY,479.71
OPFI,479.65
RBCN,479.07
ARVN,478.14
STEM,477.92
GPRE,477.71
ARBB,477.55
BEEM,477.44
PMNT,476.47
HLGN,475.82
JL,475.54
AGAE,474.24
UPB,473.15
MBX,472.92
CRVS,471.43
RYET,470.90
HYFM,470.07
BTCY,469.89
HOFV,469.86
ADVM,469.66
BTCS,469.47
ESPR,468.95
BKSY,467.88
BDTX,464.85
COSM,464.08
NOTV,463.48
EPIX,462.86
SST,462.07
AMLIF,461.90
CNTX,461.22
MGX,460.98
INOD,460.38
SENS,460.00
ZKH,458.80
VISL,458.22
RAPT,457.83
HOOD,456.51
POAI,456.36
UXIN,456.02
DVLT,455.65
AMBO,455.00
SANW,452.38
IMCC,451.94
HTOO,451.22
OPEN,449.63
SNES,449.62
RDW,447.43
QSG,447.16
BKKT,446.40
NRXP,446.36
DYNT,445.00
BRCNF,444.78
UNCY,444.55
SMMT,444.40
OFAL,443.89
CHEK,442.86
VNCE,442.52
LPA,442.37
MGIH,442.06
ASPI,441.94
HIMS,441.80
JELD,441.28
MEGL,441.18
SUUN,440.65
NVFY,440.26
RAY,439.53
LBGJ,439.22
AP,439.19
MTEK,439.17
SNOA,435.66
SMR,435.61
STRM,435.55
LWLG,435.38
NXPL,434.88
HTLM,434.63
AAUAF,433.33
IMPM,433.33
ONMD,433.33
CMPX,433.33
CNL,433.33
RAIL,433.11
UFG,433.04
ROOT,432.14
TOYO,430.88
PACS,430.43
MSTR,430.27
MPU,429.90
ANY,426.32
BMRA,425.88
WXM,425.59
LFVN,424.52
MAAS,424.34
XYF,423.81
ZURA,422.68
CELU,421.63
PIII,421.25
PHH,420.27
SRI,419.77
PDSB,419.69
GRAL,418.98
FTHM,418.46
NVTS,418.09
AKTX,417.65
PASG,417.51
IMAB,416.81
ASNS,416.58
SATX,416.52
TTGT,416.32
GLE,416.18
FRSX,415.69
AGL,415.33
QURE,414.21
ADN,414.04
ESLA,412.70
APLD,412.29
ACRS,411.88
IINN,411.67
GFAI,410.53
LCFY,410.45
YGMZ,409.87
INDI,409.80
MTBLY,409.50
AKBA,409.48
SEED,408.29
SRPT,408.06
MDCX,407.95
BCG,407.60
REAL,407.54
CPOP,407.48
KLXE,407.28
FNGR,404.84
PMN,404.26
,404.18
THRD,403.77
SINT,402.70
FLGC,402.26
CLOV,402.01
SABS,401.00
ENZB,400.99
GNCAQ,400.00
KBNT,400.00
NAK,400.00
POLCQ,400.00
BTDR,399.81
XELB,399.41
WGRX,399.29
MSW,399.06
MURA,398.95
MNY,398.91
OCTO,397.95
TMQ,397.43
CRWV,397.25
GDEV,397.21
AMZE,396.82
AUR,396.31
KPTI,395.72
QRHC,395.29
LNSR,394.57
SMSI,394.14
SLGL,394.01
ACHR,393.51
XNET,392.19
CXAI,392.15
WKSP,391.80
KOSS,391.60
DNUT,391.47
WTF,390.12
VIVHY,389.84
KLRS,388.64
TTNP,388.45
HXHX,387.60
UHG,387.50
BITF,387.37
SDA,387.14
LOCL,387.11
TRSG,387.00
EAF,386.54
MATH,386.28
SVT,386.02
YSXT,385.85
RXST,385.32
OBLG,384.21
SEDG,384.08
PLUG,384.06
RMBL,383.56
SEI,382.45
BRCC,382.43
RDZN,382.35
TZUP,382.18
RPTX,382.02
KINS,381.72
HPAI,381.70
NEOG,380.10
MSGM,379.06
QNCX,378.89
CANF,378.57
CHPT,378.43
NTLA,377.63
PSQH,376.66
ADVB,376.58
EVH,376.35
WETH,376.19
MSAI,375.71
LEXX,375.47
ORGN,374.88
WGS,374.42
DEFT,373.68
QTRX,373.58
ATLN,372.63
VYNE,372.58
MEG,372.50
POET,372.12
PVLA,372.10
AVTX,371.98
NCEW,371.59
KRKR,370.65
DTSS,370.55
BCYC,370.16
UBX,369.70
ONCY,369.61
SCNI,369.47
PLBY,369.23
CASI,369.11
RDDT,368.98
PAVS,368.75
MCRB,368.61
NAUT,368.18
UPST,368.11
ASTS,368.02
HKPD,367.84
AMRC,367.37
ALLT,367.33
LB,367.20
JZ,366.67
BIRD,366.51
TROX,366.44
NRXS,366.17
BYON,366.10
TOPP,365.50
DJT,365.36
EVGO,365.13
ROLR,364.84
ELTP,364.55
GP,363.41
SNBR,363.17
DMRC,362.84
RAPP,362.52
DCGO,361.79
AMLX,361.59
JFIN,361.28
TYRA,361.06
AKA,360.71
CMTG,360.56
MATV,359.91
NINE,359.09
CNFR,358.91
OXBR,358.71
OMER,357.91
DUOT,357.77
VRA,357.56
BORR,357.42
FLD,357.37
PW,357.27
BQ,356.79
CCTSF,356.67
JXG,356.52
GERN,356.41
TCNNF,356.29
CBWTF,356.25
LEU,355.73
NBR,355.35
CRBU,354.47
YMAB,353.80
VEEE,353.66
ABVC,352.50
AUTL,352.49
NRGV,352.26
DNA,351.92
ZEO,351.86
WULF,351.46
ASM,350.60
ZBIO,350.43
SQNS,350.00
PRSO,349.65
TELO,349.20
EGLXF,349.04
DGXX,348.81
MOBX,348.28
GLYC,348.08
BYRN,346.47
TECX,345.77
EU,345.54
RBOT,344.96
ELF,344.88
DTI,344.76
AEMD,344.21
KORE,343.64
EWCZ,342.65
DLHC,342.28
GPRO,342.21
SPAI,342.17
XGN,342.11
AREC,342.11
CUE,342.02
HELE,340.79
LPCN,339.93
ASPS,339.92
MIST,339.72
HIVE,339.68
ENFY,339.45
True,339.37
DXLG,338.81
FSI,338.79
FULC,338.53
ALLO,338.46
PCVX,337.67
FTK,337.20
ECOR,337.00
NVA,336.78
GALT,336.64
EQ,335.79
XIFR,335.51
OTRK,335.43
SQZB,334.78
RNMBY,334.51
VTYX,334.23
MARK,334.15
KURA,334.01
BAER,333.95
HRTG,333.88
CMTL,333.61
EDAP,333.33
VSTM,333.33
NEUP,332.76
GRPN,332.52
CVRX,332.40
VKTX,331.97
PRQR,331.78
KWM,331.58
TIGR,330.95
KPLT,330.71
KOS,330.69
